Sensor,start,end
AC9,1/28/2020 8:00,1/28/2020 14:00
AC9,2/4/2020 3:00,2/5/2020 4:00
AC9,2/10/2020 4:00,2/10/2020 11:00
AC9,2/13/2020 17:00,2/14/2020 13:00
AC9,3/10/2020 14:00,3/11/2020 12:00
AC10,1/28/2020 8:00,1/28/2020 14:00
AC10,2/4/2020 2:00,2/4/2020 13:00
AC10,2/10/2020 4:00,2/10/2020 13:00
AC10,2/11/2020 4:00,2/12/2020 13:00
AC10,2/13/2020 17:00,2/14/2020 11:00
AC10,2/18/2020 0:00,2/18/2020 13:00
AC10,2/19/2020 9:00,2/19/2020 19:00
AC10,2/25/2020 14:00,2/27/2020 21:00
AC10,2/29/2020 17:00,3/3/2020 11:00
AC10,3/6/2020 4:00,3/6/2020 11:00
AC10,3/10/2020 9:00,3/11/2020 12:00
AC11,12/22/2019 17:00,12/23/2019 16:00
AC11,1/28/2020 8:00,1/28/2020 13:00
AC11,2/4/2020 3:00,2/4/2020 19:00
AC11,2/10/2020 4:00,2/10/2020 13:00
AC11,2/11/2020 1:00,2/11/2020 13:00
AC11,2/13/2020 17:00,2/14/2020 8:00
AC11,2/26/2020 3:00,2/26/2020 10:00
AC11,2/29/2020 16:00,3/1/2020 12:00
AC11,3/1/2020 18:00,3/2/2020 17:00
AC11,3/10/2020 11:00,3/11/2020 14:00
AC12,1/28/2020 8:00,1/28/2020 13:00
AC12,2/13/2020 17:00,2/14/2020 14:00
AC12,3/10/2020 13:00,3/11/2020 14:00
