"","AC9_NO_00","AC9_NO_01","AC9_NO2_00","AC9_NO2_01","AC10_NO_00","AC10_NO_01","AC10_NO2_00","AC10_NO2_01","AC11_NO_00","AC11_NO_01","AC11_NO2_00","AC11_NO2_01","AC12_NO_00","AC12_NO_01","AC12_NO2_00","AC12_NO2_01"
"RLM_ 1",0.658,0.672,0.799,0.788,0.704,0.737,0.785,0.765,0.715,0.694,0.882,0.785,0.779,0.729,0.832,0.784
"RLM_ 2",0.522,0.578,0.752,0.656,0.59,0.666,0.749,0.625,0.617,0.591,0.885,0.724,0.702,0.649,0.816,0.643
"RLM_ 3",0.484,0.531,0.668,0.554,0.507,0.536,0.668,0.549,0.499,0.551,0.847,0.654,0.432,0.568,0.747,0.558
"RLM_ 4",0.504,0.563,0.649,0.573,0.565,0.62,0.666,0.566,0.551,0.577,0.856,0.66,0.547,0.627,0.752,0.545
"RLM_ 5",0.465,0.499,0.648,0.553,0.474,0.498,0.657,0.548,0.486,0.53,0.847,0.65,0.423,0.517,0.742,0.542
"RLM_ 6",0.484,0.53,0.606,0.441,0.507,0.536,0.584,0.441,0.498,0.551,0.802,0.54,0.43,0.563,0.682,0.484
"RLM_ 7",0.483,0.527,0.584,0.425,0.505,0.533,0.556,0.423,0.499,0.55,0.784,0.507,0.431,0.557,0.663,0.457
"RLM_ 8",0.481,0.523,0.565,0.419,0.502,0.53,0.533,0.413,0.499,0.548,0.766,0.48,0.432,0.55,0.647,0.434
"RLM_ 9",0.479,0.519,0.55,0.419,0.498,0.526,0.516,0.409,0.499,0.545,0.751,0.462,0.432,0.543,0.636,0.415
"RLM_ 10",0.504,0.562,0.587,0.478,0.564,0.619,0.58,0.468,0.55,0.577,0.811,0.547,0.547,0.624,0.691,0.471
"RLM_ 11",0.504,0.561,0.572,0.468,0.563,0.618,0.561,0.456,0.551,0.577,0.797,0.523,0.547,0.619,0.679,0.45
"RLM_ 12",0.503,0.558,0.56,0.465,0.561,0.615,0.546,0.45,0.551,0.576,0.785,0.504,0.546,0.614,0.672,0.434
"RLM_ 13",0.501,0.554,0.551,0.466,0.558,0.612,0.536,0.448,0.55,0.574,0.775,0.491,0.545,0.608,0.666,0.422
"RLM_ 14",0.464,0.499,0.586,0.441,0.473,0.498,0.567,0.44,0.482,0.529,0.799,0.532,0.416,0.516,0.675,0.465
"RLM_ 15",0.465,0.499,0.569,0.425,0.474,0.498,0.544,0.423,0.484,0.53,0.782,0.503,0.418,0.514,0.659,0.442
"RLM_ 16",0.465,0.498,0.555,0.417,0.473,0.498,0.525,0.412,0.485,0.53,0.766,0.479,0.42,0.511,0.646,0.424
"RLM_ 17",0.464,0.496,0.544,0.414,0.472,0.497,0.511,0.407,0.486,0.529,0.751,0.462,0.421,0.508,0.636,0.409
"RLM_ 18",0.276,0.311,0.598,0.506,0.312,0.343,0.609,0.522,0.315,0.324,0.773,0.608,0.294,0.36,0.65,0.519
"RLM_ 19",0.275,0.306,0.513,0.376,0.307,0.336,0.503,0.409,0.314,0.32,0.666,0.471,0.293,0.343,0.519,0.44
"RLM_ 20",0.273,0.301,0.483,0.362,0.303,0.33,0.471,0.392,0.312,0.318,0.628,0.434,0.291,0.335,0.484,0.412
"RLM_ 21",0.271,0.297,0.458,0.358,0.299,0.325,0.446,0.384,0.31,0.314,0.594,0.406,0.289,0.328,0.458,0.388
"RLM_ 22",0.268,0.293,0.439,0.362,0.295,0.32,0.429,0.382,0.308,0.311,0.566,0.387,0.286,0.321,0.44,0.37
"RLM_ 23",0.275,0.306,0.513,0.376,0.307,0.336,0.503,0.409,0.314,0.32,0.666,0.471,0.293,0.343,0.519,0.44
"RLM_ 24",0.273,0.301,0.483,0.362,0.303,0.33,0.471,0.392,0.312,0.318,0.628,0.434,0.291,0.335,0.484,0.412
"RLM_ 25",0.271,0.297,0.458,0.358,0.299,0.325,0.446,0.384,0.31,0.314,0.594,0.406,0.289,0.328,0.458,0.388
"RLM_ 26",0.268,0.293,0.439,0.362,0.295,0.32,0.429,0.382,0.308,0.311,0.566,0.387,0.286,0.321,0.44,0.37
"RF_ 1",0.44,0.502,0.65,0.565,0.532,0.616,0.663,0.562,0.561,0.5,0.784,0.645,0.664,0.569,0.687,0.58
"RF_ 2",0.234,0.259,0.528,0.468,0.259,0.277,0.557,0.469,0.255,0.267,0.726,0.569,0.242,0.296,0.596,0.461
"RF_ 3",0.236,0.258,0.378,0.299,0.26,0.274,0.405,0.311,0.252,0.261,0.584,0.368,0.247,0.283,0.4,0.329
"RF_ 4",0.234,0.256,0.36,0.295,0.257,0.27,0.383,0.3,0.252,0.261,0.551,0.344,0.244,0.278,0.375,0.312
"RF_ 5",0.234,0.256,0.347,0.296,0.257,0.269,0.365,0.295,0.253,0.26,0.521,0.331,0.243,0.274,0.363,0.302
"RF_ 6",0.232,0.255,0.338,0.302,0.257,0.268,0.354,0.295,0.251,0.258,0.503,0.322,0.241,0.273,0.354,0.295
"RF_ 7",0.322,0.373,0.535,0.5,0.426,0.476,0.581,0.503,0.38,0.388,0.735,0.589,0.395,0.454,0.623,0.479
"RF_ 8",0.234,0.249,0.495,0.46,0.247,0.259,0.532,0.458,0.248,0.257,0.688,0.548,0.242,0.278,0.565,0.441
"RF_ 9",0.234,0.259,0.528,0.469,0.259,0.277,0.557,0.469,0.255,0.267,0.726,0.568,0.241,0.295,0.596,0.461
